,Unnamed: 0,release,Title,genre,Language,Cast,Ratings,release_year
7840,7840,06-05-2003,25th Hour,"Crime, Drama",English,"['Edward Norton', 'Philip Seymour Hoffman', 'Barry Pepper', 'Rosario Dawson', 'Anna Paquin', 'Brian Cox', 'Tony Siragusa', 'Levan Uchaneishvili', 'Tony Devon']",7.3,2003
7841,7841,07/14/2021 ,The Kid,"Comedy, Drama",English,"['Charlie Chaplin', 'Jackie Coogan', 'Edna Purviance', 'Carl Miller', 'Albert Austin', 'Charles Reisner', 'Lita Grey', 'Beulah Bains', 'Nellie Bly Baker']",8.2,2021
7842,7842,07/14/2021 ,The Kid,"Comedy, Drama",English,"['Charlie Chaplin', 'Jackie Coogan', 'Edna Purviance', 'Carl Miller', 'Albert Austin', 'Charles Reisner', 'Lita Grey', 'Beulah Bains', 'Nellie Bly Baker']",8.2,2021
7843,7843,12-01-2021,Settlers,"Sci-Fi, Thriller",English,"['Sofia Boutella', 'Ismael Cruz Córdova', 'Brooklynn Prince', 'Nell Tiger Free', 'Jonny Lee Miller', 'Natalie Walsh', 'Matthew Van Leeve']",4.8,2021
7844,7844,01/26/1996 ,Get Shorty,"Comedy, Thriller, Crime",English,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props']",6.5,1996
7845,7845,01-01-2004,Cold Mountain,"Drama, War, History, Adventure, Romance",English,"['Jude Law', 'Nicole Kidman', 'Renée Zellweger', 'Eileen Atkins', 'Brendan Gleeson', 'Philip Seymour Hoffman', 'Natalie Portman', 'Giovanni Ribisi', 'Donald Sutherland']",6.9,2004
7846,7846,11-05-1999,Scooby-Doo! and the Witch's Ghost,"Animation, Comedy, Mystery, Family, Fantasy",English,"['Scott Innes', 'Mary Kay Bergman', 'Frank Welker', 'B.J. Ward', 'Tim Curry', 'Kimberly Brooks', 'Jennifer Hale', 'Jane Wiedlin', 'Bob Joles']",7.4,1999
7847,7847,10/13/2018 ,Cucuy: The Boogeyman,"Thriller, Horror",English,"['Marisol Nichols', 'Brian Krause', 'Jearnest Corchado', 'Bella Stine', 'Pedro Correa', 'Morgana Ignis', 'Jack Erdie', 'Justin Ellings', 'Isabel Gravitt']",7.0,2018
7848,7848,07-12-1984,Cannonball Run II,"Action, Comedy",English,"['Burt Reynolds', 'Frank Sinatra', 'Jamie Farr', 'Dom DeLuise', 'Dean Martin', 'Sammy Davis Jr.', 'Marilu Henner', 'Telly Savalas', 'Shirley MacLaine']",5.5,1984
7849,7849,06/19/2002 ,The Spanish Apartment,"Drama, Comedy, Romance",French,"['Romain Duris', 'Audrey Tautou', 'Kelly Reilly', 'Cécile de France', 'Cristina Brondo', '""Federico DAnna""', 'Barnaby Metschurat', 'Christian Pagh', 'Martine Demaret']",7.1,2002
7850,7850,06/30/2017 ,02:22,"Sci-Fi, Mystery, Thriller, Romance",English,"['Michiel Huisman', 'Teresa Palmer', 'Sam Reid', 'John Waters', 'Richard Davies', 'Maeve Dermody', 'Kerry Armstrong', 'Simone Kessell', 'Remy Hii']",6.0,2017
7851,7851,10-12-2012,Girl vs. Monster,"Family, Comedy, Sci-Fi, TV Movie",English,"['Olivia Holt', 'Jennifer Aspen', 'Kerris Dorsey', 'Katherine McNamara', 'Tracy Dawson', 'Brendan Meyer', 'Luke Benward', 'Brian Palermo', 'Adam Chambers']",6.3,2012
7852,7852,04-06-2023,Thunder Monk,"Action, Comedy",Thai,"['Pramote Pathan', 'Pongkool Suebsung', 'Sananthachat Thanapatpisal', 'Carissa Springett']",4.0,2023
7853,7853,02/13/1992 ,Star Trek VI: The Undiscovered Country,"Sci-Fi, Action, Adventure, Thriller",English,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'Christopher Plummer', 'George Takei', 'James Doohan', 'Walter Koenig', 'Nichelle Nichols', 'Mark Lenard']",7.0,1992
7854,7854,06/19/2009 ,Exam,"Thriller, Mystery",English,"['Luke Mably', 'Chukwudi Iwuji', 'Adar Beck', 'Jimi Mistry', 'Nathalie Cox', 'Pollyanna McIntosh', 'Gemma Chan', 'John Lloyd Fillingham', 'Colin Salmon']",6.7,2009
7855,7855,09/30/1988 ,"Elvira, Mistress of the Dark","Horror, Comedy",English,"['Cassandra Peterson', 'William Morgan Sheppard', 'Daniel Greene', 'Edie McClurg', 'Susan Kellermann', 'Jeff Conaway', 'Ellen Dunning', 'Ira Heiden', 'Scott Morris']",6.5,1988
7856,7856,09-01-2017,Toc Toc,Comedy,Spanish,"['Alexandra Jiménez', 'Paco León', 'Rossy de Palma', 'Oscar Martínez', 'Inma Cuevas', 'Adrián Lastra', 'Nuria Herrero', 'Ana Rujas', 'Carolina Lapausa']",7.1,2017
7857,7857,04-01-2009,The True Story of Puss 'n Boots,"Family, Adventure, Animation",French,"['Jérôme Deschamps', 'Yolande Moreau', 'Louise Wallon', 'Arthur Deschamps', 'Jean-Claude Bolle-Reddat']",4.6,2009
7858,7858,08/29/2019 ,The 9th Precinct,"Fantasy, Thriller, Crime",Chinese,"['Roy Chiu', 'Chen-Ling Wen', 'Eugenie Liu', 'Peng Chia-chia', 'Blaire Chang', 'Heaven Hai', 'Tiger Wang', 'Mario Pu', 'Yann Yann Yeo']",6.0,2019
7859,7859,04-11-2009,Crows Zero II,"Action, Thriller",Japanese,"['Shun Oguri', 'Takayuki Yamada', 'Kenta Kiritani', 'Meisa Kuroki', 'Kyosuke Yabe', 'Sousuke Takaoka', 'Tsutomu Takahashi', 'Kaname Endô', 'Suzunosuke Tanaka']",7.3,2009
7860,7860,12/28/2018 ,Black Mirror: Bandersnatch,"Sci-Fi, Mystery, Drama, Thriller, TV Movie",English,"['Fionn Whitehead', 'Craig Parkinson', 'Alice Lowe', 'Will Poulter', 'Asim Chaudhry', 'Tallulah Haddon', 'Alan Asaad', 'Catriona Knox', 'Paul Bradley']",6.8,2018
7861,7861,09/27/2018 ,I'll Take Your Dead,"Horror, Crime, Drama",English,"['Aidan Devine', 'Ava Preston', 'Jess Salgueiro', 'Brandon McKnight', 'Michael Reventar', 'Ari Millen', 'Moe Jeudy-Lamour', 'Tavaree Daniel-Simms', 'Raffaele Brereton']",6.3,2018
7862,7862,03-11-2001,Violet Perfume,Drama,Spanish,"['Ximena Ayala', 'Nancy Gutiérrez', 'Arcelia Ramírez', 'madre de Miriam', 'Madre de Yessica', 'Jorge', 'Héctor', 'Juan', 'Padrastro de Yessica']",7.8,2001
7863,7863,06-05-2023,Darker Shades of Summer,"Thriller, Romance",English,"['Danielle Scott', 'May Kelly', 'Chrissie Wunna', 'Stephen Staley', 'Jack Ilco', 'Kelly Rian Sanson', 'Abbie Knight', 'Daniel Godfrey', 'Lucas Paternott']",0.0,2023
